phase,policy,fleet,scenario,replication,arrival_seed,sensor_seed,general_trips,recycling_trips,distance_km,collection_trips,collection_stops,wasted_pickups,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,overflow_bin_hours_mixed_general_waste,overflow_bin_hours_plastic_cups,overflow_bin_hours_metal_cans,overflow_bin_hours_glass_bottles,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,unserved_required_bins,unfinished_trip_count,uncollected_kg_at_horizon
final_exact,current_6h,g1_r1,abrupt_behavior_change,0,12222026,12232026,19,27,1147.7420000000002,46.0,432.0,69.0,5.0,13.40179444444446,42.929848075783596,3.2095166666668016,10.19227777777766,0.0,0.0,516.4838999999998,30.445020000000007,14.907856928188227,172.80000000000138,46.0,780.6367769281894,1.0,0,12260.850139385871
final_exact,current_6h,g1_r1,abrupt_behavior_change,1,12222127,12232129,20,27,1167.717,47.0,451.0,79.0,1.0,0.5047749999999723,8.546311245827269,0.5047749999999723,0.0,0.0,0.0,525.4726500000002,55.811655,15.266593806455774,180.40000000000148,47.0,823.9508988064574,0.0,0,7928.599716602701
final_exact,fixed_baseline,g1_r1,abrupt_behavior_change,0,12222026,12232026,9,15,612.8739999999996,24.0,396.0,113.0,62.0,666.5751458333349,3111.888973333909,414.99077083333407,251.5843750000007,0.0,0.0,275.7933000000001,46.71040500000001,17.161694938122267,158.40000000000117,24.0,522.0653999381235,0.0,0,13841.536496115767
final_exact,fixed_baseline,g1_r1,abrupt_behavior_change,1,12222127,12232129,9,15,610.9709999999994,24.0,396.0,118.0,66.0,600.6279458333352,2985.4320001608744,375.8536388888899,224.77430694444507,0.0,0.0,274.93695,46.68059250000001,17.244442171825927,158.40000000000117,24.0,521.2619846718271,0.0,0,16534.315697933485
final_exact,current_6h,g1_r1,combined_demand_operational_stress,0,12222026,12232026,15,27,1021.5279999999993,42.0,615.0,248.0,33.0,388.8063737500019,3409.648628578029,247.72852479166784,128.16607166666756,0.0,12.911777291666658,459.68759999999986,257.0883153750001,43.05730484882378,246.00000000000242,42.0,1047.8332202238262,1.0,0,11023.141634184072
final_exact,current_6h,g1_r1,combined_demand_operational_stress,1,12222127,12232129,14,28,1005.3799999999992,42.0,616.0,245.0,42.0,430.22381479166893,2938.8706268811015,242.5227647916674,187.70105000000177,0.0,0.0,452.4209999999998,252.05294925000004,43.62014806231634,246.40000000000242,42.0,1036.4940973123187,0.0,0,13753.083705766923
final_exact,fixed_baseline,g1_r1,combined_demand_operational_stress,0,12222026,12232026,16,18,785.7669999999996,34.0,381.0,39.0,176.0,3364.426158541668,24338.830520288222,1348.5474081250024,1119.7184981249993,110.64146708333341,785.5187852083335,353.5951499999998,196.4726505000001,34.235804715227886,152.40000000000109,34.0,770.703605215229,15.0,0,16687.49503850621
final_exact,fixed_baseline,g1_r1,combined_demand_operational_stress,1,12222127,12232129,15,18,774.1689999999998,33.0,376.0,40.0,172.0,3866.0611377083374,25496.843240288737,1414.435709791671,1362.4268033333335,398.0839910416668,691.1146335416669,348.3760499999999,194.95129500000007,34.53446915745469,151.20000000000107,33.0,762.0618141574557,20.0,0,19442.6367496956
final_exact,current_6h,g1_r1,event_heavy,0,12222026,12232026,15,23,946.0689999999996,38.0,332.0,51.0,1.0,0.364416666666663,8.483927132097733,0.364416666666663,0.0,0.0,0.0,425.73104999999987,39.869325,11.74423678821361,132.8000000000008,38.0,648.1446117882142,0.0,0,9534.114422206552
final_exact,current_6h,g1_r1,event_heavy,1,12222127,12232129,17,18,904.7829999999994,35.0,330.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.15234999999996,38.04570000000001,11.8051432806329,132.0000000000008,35.0,624.0031932806337,0.0,0,8316.644418003449
final_exact,fixed_baseline,g1_r1,event_heavy,0,12222026,12232026,9,11,595.7659999999997,20.0,396.0,180.0,4.0,24.582806944444396,55.05569654148984,7.770244444444462,16.812562499999935,0.0,0.0,268.0947,46.576215,14.782275183105444,158.40000000000117,20.0,507.8531901831066,0.0,0,9104.05966718283
final_exact,fixed_baseline,g1_r1,event_heavy,1,12222127,12232129,9,9,592.5419999999997,18.0,396.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6438999999999,47.323845,14.756698892413041,158.40000000000117,18.0,505.12444389241415,0.0,0,11128.802602257358
final_exact,current_6h,g1_r1,gradual_upward_trend,0,12222026,12232026,17,25,994.079999999999,42.0,359.0,44.0,3.0,6.828740277777753,46.36018210635814,6.828740277777753,0.0,0.0,0.0,447.33599999999996,36.16807500000001,12.59410091869805,143.60000000000096,42.0,681.698175918699,0.0,0,6794.297723461907
final_exact,current_6h,g1_r1,gradual_upward_trend,1,12222127,12232129,16,26,997.8510000000003,42.0,368.0,54.0,1.0,17.184916666666687,30.08084875238255,0.0,17.184916666666687,0.0,0.0,449.0329499999999,44.642902500000005,13.070374758536586,147.200000000001,42.0,695.9462272585374,1.0,0,9060.318154050725
final_exact,fixed_baseline,g1_r1,gradual_upward_trend,0,12222026,12232026,9,11,597.8839999999998,20.0,396.0,164.0,9.0,54.90756527777789,192.60520687182424,32.273676388888966,22.633888888888926,0.0,0.0,269.0478,47.21404499999999,15.808568032901091,158.40000000000117,20.0,510.47041303290223,0.0,0,10521.817605346741
final_exact,fixed_baseline,g1_r1,gradual_upward_trend,1,12222127,12232129,9,10,596.5219999999997,19.0,396.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.4348999999999,47.41602749999999,15.685529398656069,158.40000000000117,19.0,508.9364568986571,0.0,0,12948.34873526649
final_exact,current_6h,g1_r1,high_demand_seasonal,0,12222026,12232026,21,32,1338.2280000000003,53.0,518.0,84.0,9.0,11.966009722222363,52.936310730794375,1.8967458333333373,10.069263888889026,0.0,0.0,602.2026,49.27059000000002,17.464529723326823,207.20000000000186,53.0,929.1377197233286,0.0,0,12765.678435100166
final_exact,current_6h,g1_r1,high_demand_seasonal,1,12222127,12232129,22,30,1331.2549999999992,52.0,516.0,61.0,3.0,11.789998611111082,97.03230636657084,3.6257666666667014,8.164231944444381,0.0,0.0,599.0647499999998,46.12207500000003,18.379413677166937,206.40000000000185,52.0,921.9662386771686,1.0,0,11662.1084783704
final_exact,fixed_baseline,g1_r1,high_demand_seasonal,0,12222026,12232026,9,18,628.1189999999996,27.0,396.0,64.0,125.0,1387.4788638888901,6949.782811923518,832.1113777777786,555.3674861111114,0.0,0.0,282.6535499999998,44.97678000000002,18.22057198199485,158.40000000000117,27.0,531.2509019819959,0.0,0,14183.995212262413
final_exact,fixed_baseline,g1_r1,high_demand_seasonal,1,12222127,12232129,9,18,629.6359999999994,27.0,396.0,60.0,130.0,1246.5467541666676,5840.789408383328,710.6896541666679,535.8571000000004,0.0,0.0,283.3362000000001,46.628775,18.719848389364532,158.40000000000117,27.0,534.0848233893657,0.0,0,17018.506131654933
final_exact,current_6h,g1_r1,localized_surge,0,12222026,12232026,17,24,993.8429999999994,41.0,357.0,68.0,4.0,5.6939069444442945,50.83953309200798,3.3486999999999325,2.3452069444443624,0.0,0.0,447.2293499999998,48.18557250000003,12.536775410047973,142.80000000000095,41.0,691.7516979100487,0.0,0,9817.465676755575
final_exact,current_6h,g1_r1,localized_surge,1,12222127,12232129,18,22,1030.980999999999,40.0,377.0,60.0,1.0,1.1853333333332556,2.2720866635757773,0.0,1.1853333333332556,0.0,0.0,463.9414499999999,24.192022500000007,12.318275412717876,150.80000000000106,40.0,691.2517479127189,0.0,0,7127.755674558144
final_exact,fixed_baseline,g1_r1,localized_surge,0,12222026,12232026,9,10,596.2719999999997,19.0,396.0,164.0,15.0,205.29758055555584,1191.1420533905457,118.21244166666709,87.08513888888876,0.0,0.0,268.32239999999996,47.58786,15.70601940038817,158.40000000000117,19.0,509.0162794003893,0.0,0,9623.093840866235
final_exact,fixed_baseline,g1_r1,localized_surge,1,12222127,12232129,9,10,594.1539999999997,19.0,396.0,167.0,15.0,313.0120888888893,1627.086827070476,187.2427166666673,125.76937222222205,0.0,0.0,267.36929999999995,46.950030000000005,15.633775450154337,158.40000000000117,19.0,507.3531054501555,0.0,0,11842.43489035843
final_exact,current_6h,g1_r1,normal_patterned,0,12222026,12232026,12,22,830.2409999999991,34.0,335.0,43.0,3.0,0.921479166666677,26.1089463242034,0.7365624999999909,0.18491666666668607,0.0,0.0,373.60844999999995,39.99417750000003,12.364174372025275,134.00000000000082,34.0,593.966801872026,0.0,0,8221.982087961875
