scenario,policy,demand_regime,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions
abrupt_behavior_change,fixed,normal,39.0,435.5,1940.9512993740648,426.6439999999999,15.109584027777785,36.533333333333246,4.833333333333332,0.49999999999999994,41.366666666666575,16.0,274.0,81.0,89814.90147374466,65.87548904548703,61.98168973932144,0.0,25.0,191.9898,32.74986375,11.528218443455145,236.26788219345516,109.6000000000005,14.5,360.36788219345567,965.7859242784613,0.0,0.0,0.0,0.0,6.5
abrupt_behavior_change,fixed,quiet,1.5,27.5,92.02590018290991,147.31849999999994,5.324434027777781,13.133333333333306,2.0,0.16666666666666666,15.133333333333306,5.0,98.5,52.5,25715.757430896076,26.40189162157726,28.57306381210675,0.0,3.5,66.29332500000001,11.945711250000006,3.631551852549448,81.87058810254946,39.40000000000002,6.0,127.27058810254948,341.0851761148326,0.0,0.0,0.0,0.0,1.5
abrupt_behavior_change,fixed,surge,13.0,188.5,1366.8598731145034,36.9515,1.2763048611111112,3.1333333333333364,0.6666666666666666,0.08333333333333333,3.800000000000003,1.5,23.5,2.0,9841.725864740967,40.782862536118465,36.45083653607766,0.0,1.5,16.628174999999995,2.507253750000001,1.0966174592266373,20.23204620922663,9.399999999999999,2.0,31.63204620922663,84.77388384072738,0.0,0.0,0.0,0.0,0.5
abrupt_behavior_change,smart,normal,4.5,110.0,179.69380651229415,811.3799999999994,24.498346527777784,36.46666666666658,10.5,0.0,46.96666666666658,34.0,273.5,51.0,88695.38645067567,64.30631061077041,28.863667100583356,0.0,278.0,365.12100000000004,27.411795000000005,9.27350751051815,401.8063025105182,109.40000000000047,31.5,542.7063025105188,1454.4528907281901,0.0,21.0,0.0,1.0,77.0
abrupt_behavior_change,smart,quiet,1.0,31.5,49.02667006713133,313.558,9.55931666666667,14.93333333333332,4.0,0.0,18.93333333333332,11.0,112.0,18.5,32360.35054839388,63.18113054728143,32.52224684377905,0.0,101.5,141.1011,11.82407625,4.263034590933811,157.18821084093378,44.799999999999905,12.0,213.9882108409337,573.4884050537023,0.0,6.5,0.0,0.0,30.0
abrupt_behavior_change,smart,surge,1.0,7.5,31.472155556267126,58.305499999999995,1.6503868055555557,3.4666666666666677,1.1666666666666665,0.0,4.633333333333335,2.0,26.0,4.0,8742.344416057476,66.86367411760091,47.106156948499304,0.0,20.5,26.237475000000003,1.1470275,0.9878217803409632,28.372324280340962,10.400000000000004,3.5,42.27232428034097,113.28982907131379,0.0,1.5,0.0,0.0,6.0
combined_demand_operational_stress,fixed,normal,69.5,1693.0,9186.80579043167,349.178,15.896434687500005,24.199999999999953,4.999999999999999,1.0,29.199999999999953,15.0,180.0,31.5,67350.00538273527,74.80511430458137,76.118495217446,7.0,88.0,157.13010000000003,86.62836375000003,15.732567002964092,259.49103075296415,72.59999999999998,15.0,347.0910307529641,930.203962417944,0.0,0.0,3.0,0.0,4.5
combined_demand_operational_stress,fixed,quiet,6.0,274.5,1350.1542207955504,131.52050000000003,6.286030312500004,10.06666666666665,1.8333333333333335,0.41666666666666663,11.899999999999983,5.5,75.5,18.5,26833.505857029224,73.74745834761575,41.633625881072334,1.5,24.0,59.18422500000001,33.95017237500002,5.707879540875023,98.84227691587506,30.199999999999925,5.5,134.54227691587496,360.573302134545,0.0,0.0,0.5,0.0,1.5
combined_demand_operational_stress,fixed,surge,63.5,1491.0,14116.136497513424,254.04500000000004,11.745425625000003,16.333333333333314,3.666666666666666,0.8333333333333333,19.99999999999998,11.0,121.0,12.5,49257.9639368106,81.87386378412384,78.60180762711335,11.0,65.5,114.32025,63.83125125000001,11.259774978201264,189.4112762282013,48.9999999999999,11.0,249.4112762282012,668.4222202915793,0.0,0.0,2.0,0.0,3.0
combined_demand_operational_stress,smart,normal,18.5,385.5,1425.8743012967343,906.3054999999996,35.01643125000002,29.333333333333268,14.000000000000007,0.0,43.33333333333327,42.0,220.0,25.5,72066.00364743153,69.27108891388366,29.414513049560085,2.5,1168.5,407.8374749999999,182.01021525000004,13.87650867384848,603.7241989238485,88.00000000000017,42.0,733.7241989238486,1966.3808531159143,0.0,26.5,2.0,5.5,57.5
combined_demand_operational_stress,smart,quiet,3.0,54.5,98.84046715418174,248.909,9.5901590625,7.600000000000003,4.166666666666666,0.0,11.76666666666667,11.5,57.0,5.5,23157.439895358126,69.65059543280267,38.96637125072951,0.0,378.5,112.00904999999999,49.771495687500014,4.533454534768465,166.31400022226848,22.799999999999983,12.5,201.61400022226846,540.3255205956796,0.0,6.5,0.0,2.0,19.5
combined_demand_operational_stress,smart,surge,31.5,395.0,3862.6669646774353,779.2239999999993,29.256317812500015,27.39999999999994,11.166666666666668,0.0,38.566666666666606,34.5,205.5,25.0,74357.92166789889,73.01186749888132,37.061728517154826,6.5,568.5,350.65079999999995,149.80700137499997,14.484553628338166,514.9423550033381,82.20000000000009,33.5,630.6423550033383,1690.1215114089464,0.0,21.0,4.0,7.5,28.0
event_heavy,fixed,normal,2.5,16.5,65.9863932005373,411.35749999999985,14.759969444444447,36.33333333333324,3.833333333333332,0.0,40.16666666666658,13.0,272.5,136.5,69029.06633708252,50.61795203044956,56.66209519344208,0.0,25.0,185.11087499999996,32.662383750000004,9.699875788112248,227.47313453811225,109.00000000000051,11.5,347.97313453811273,932.5680005621423,0.0,0.0,0.0,0.0,6.5
event_heavy,fixed,quiet,0.0,1.0,3.4749513104203515,147.65000000000003,5.282361111111113,13.333333333333306,1.6666666666666667,0.0,14.999999999999972,4.0,100.0,65.0,21691.284624471533,22.053568548058923,30.126784200654907,0.0,4.0,66.44250000000001,12.032358750000007,3.3797314142147474,81.85459016421476,40.00000000000003,5.0,126.85459016421478,339.9703016400956,0.0,0.0,0.0,0.0,1.5
event_heavy,fixed,surge,0.5,7.5,47.00017203119097,33.534499999999994,1.2087694444444441,3.1333333333333364,0.5,0.0,3.6333333333333364,1.0,23.5,10.0,6858.683498844617,29.571823887278764,38.10379721580343,0.0,1.5,15.090524999999996,2.6291025000000006,0.9726129747999379,18.692240474799934,9.399999999999999,1.5,29.592240474799933,79.30720447246382,0.0,0.0,0.0,0.0,0.5
event_heavy,smart,normal,2.0,29.0,27.5979958238878,549.9085,16.55689097222222,25.666666666666615,7.999999999999998,0.0,33.666666666666615,22.5,192.5,27.5,63650.96385197551,65.09752117144626,31.257743128398843,0.0,280.0,247.45882500000005,18.175961250000007,7.285770007677806,272.92055625767784,77.00000000000001,24.0,373.9205562576779,1002.1070907705769,0.0,15.5,0.0,0.0,78.5
event_heavy,smart,quiet,0.0,0.0,0.0,199.23400000000004,5.6256951388888865,9.733333333333329,2.166666666666667,0.0,11.899999999999995,7.5,73.0,14.5,21776.409611747455,62.41761579244489,33.014971883877585,0.0,96.0,89.65530000000001,2.3807025000000004,2.097656441742317,94.13365894174234,29.19999999999996,6.5,129.8336589417423,347.95420596386936,0.0,4.5,0.0,0.0,30.0
event_heavy,smart,surge,0.5,2.5,1.5664420035565243,97.28499999999998,3.0140763888888884,4.866666666666669,1.1666666666666665,0.0,6.033333333333335,4.0,36.5,1.5,10742.65572798896,67.84604334010909,29.840710355524887,0.0,19.0,43.77825,3.67093125,1.1469598740460436,48.59614112404604,14.600000000000007,3.5,66.69614112404605,178.74565821244346,0.0,2.5,0.0,0.0,6.0
gradual_upward_trend,fixed,normal,2.5,17.0,56.37098065844987,411.35749999999985,14.759969444444447,36.33333333333324,3.833333333333332,0.0,40.16666666666658,13.0,272.5,120.5,74989.28507057115,54.846490534660575,61.414147160554315,0.0,25.0,185.11087499999996,32.662383750000004,10.47310562730626,228.24636437730624,109.00000000000051,11.5,348.74636437730675,934.6402565311821,0.0,0.0,0.0,0.0,6.5
gradual_upward_trend,fixed,quiet,0.0,1.0,2.934077763512107,147.65000000000003,5.282361111111113,13.333333333333306,1.6666666666666667,0.0,14.999999999999972,4.0,100.0,62.5,23170.746648012802,23.59650341678014,32.181592566684444,0.0,4.0,66.44250000000001,12.032358750000007,3.5986721229876193,82.07353087298763,40.00000000000003,5.0,127.07353087298766,340.557062739607,0.0,0.0,0.0,0.0,1.5
gradual_upward_trend,fixed,surge,3.0,14.5,90.3997604651518,35.5245,1.2674583333333334,3.1333333333333364,0.6666666666666666,0.08333333333333333,3.800000000000003,1.5,23.5,6.0,8022.840048117761,34.80185200974328,29.714222400436153,0.0,1.5,15.986024999999994,2.6751937500000005,1.0015276968244922,19.66274644682449,9.399999999999999,2.0,31.062746446824487,83.24816047748963,0.0,0.0,0.0,0.0,0.5
gradual_upward_trend,smart,normal,3.0,117.0,125.46801475608504,674.4794999999997,19.56135555555555,30.733333333333263,9.833333333333334,0.0,40.5666666666666,28.5,230.5,37.5,74685.40552197202,64.50102890756918,29.82027846270166,0.5,280.5,303.5157750000001,16.932600000000008,7.946835579133252,328.39521057913333,92.20000000000023,29.5,450.09521057913355,1206.2551643520778,0.0,17.5,0.5,0.0,78.0
gradual_upward_trend,smart,quiet,0.5,16.5,19.71762986082708,184.32799999999997,4.975077777777777,8.666666666666663,1.8333333333333335,0.0,10.499999999999996,7.5,65.0,7.5,17717.04108625296,66.15604271644216,25.947522748492155,0.0,100.5,82.94759999999998,0.82333125,1.8584184084541646,85.62934965845415,25.99999999999996,5.5,117.1293496584541,313.906657084657,0.0,5.0,0.0,0.0,30.0
gradual_upward_trend,smart,surge,0.0,2.0,4.110321446498993,114.79999999999998,3.6792027777777774,5.46666666666667,1.6666666666666665,0.0,7.133333333333337,4.0,41.0,9.5,12543.996073659964,60.92600338893341,35.971616260697,0.0,19.5,51.65999999999999,5.683027499999999,1.4052289558578654,58.748256455857856,16.400000000000006,5.0,80.14825645585786,214.79732730169908,0.0,2.5,0.0,0.0,6.0
high_demand_seasonal,fixed,normal,73.5,837.5,3678.746325213146,429.22249999999974,15.238558333333337,36.13333333333325,5.999999999999999,1.0,42.13333333333324,19.0,271.0,49.5,101531.35517861713,74.25747432827848,57.6648321112064,0.0,24.5,193.15012500000006,31.926397500000007,12.210086843519797,237.28660934351987,108.40000000000052,18.0,363.6866093435204,974.6801130406348,0.0,0.0,0.0,0.0,6.5
high_demand_seasonal,fixed,quiet,4.5,55.5,155.94702405779339,149.37999999999994,5.362939583333336,13.333333333333306,2.1666666666666665,0.25,15.499999999999972,5.5,100.0,30.5,32099.915573496466,32.588086175477194,32.42415714494592,0.0,3.5,67.22100000000002,11.318636250000006,4.309835519696582,82.8494717696966,40.00000000000003,6.5,129.34947176969663,346.65658434278697,0.0,0.0,0.0,0.0,1.5
high_demand_seasonal,fixed,surge,17.5,201.0,1540.4508169785636,41.270500000000006,1.3463465277777777,3.333333333333337,0.5,0.08333333333333333,3.833333333333337,1.5,25.0,3.0,10393.807621306658,40.54471413791188,38.49558378261725,0.0,1.5,18.571724999999997,2.507253750000001,1.3596835381125463,22.438662288112543,9.999999999999996,1.5,33.93866228811254,90.95561493214161,0.0,0.0,0.0,0.0,0.5
high_demand_seasonal,smart,normal,5.5,112.0,186.62296357938433,912.4749999999998,27.341820833333347,40.1999999999999,12.166666666666671,0.0,52.366666666666575,36.5,301.5,32.0,94556.35705239844,64.85059817427128,29.29356143267068,1.0,282.5,410.6137499999999,32.02565625,10.254552908941239,452.89395915894113,120.60000000000063,36.5,609.9939591589418,1634.7838105459641,0.0,21.0,1.0,0.0,77.5
high_demand_seasonal,smart,quiet,1.0,12.0,27.31139809816382,306.1135,9.311534027777777,14.53333333333332,3.8333333333333326,0.0,18.366666666666653,12.0,109.0,15.5,38604.98121234788,64.85487920514012,39.12345531669611,0.0,100.0,137.751075,11.33568,4.33202713069568,153.4187821306957,43.59999999999991,11.5,208.5187821306956,558.8303361102643,0.0,7.5,0.0,0.0,30.0
high_demand_seasonal,smart,surge,1.5,9.5,27.86046129420587,144.497,4.401755555555555,9.13333333333334,1.833333333333333,0.0,10.966666666666672,5.0,68.5,5.5,21604.09336194989,70.04846521571397,48.009096359888645,0.0,20.0,65.02364999999999,3.9248325,2.363239515982862,71.31172201598284,27.399999999999967,5.5,104.21172201598282,279.28741500283394,0.0,3.0,0.0,0.0,6.0
localized_surge,fixed,normal,9.0,146.5,763.9155256478409,411.35749999999985,14.759969444444447,36.33333333333324,3.833333333333332,0.0,40.16666666666658,13.0,272.5,123.5,73794.17988863602,54.08370198223031,60.33810960928287,0.0,24.5,185.11087499999996,32.662383750000004,10.33678583266063,228.11004458266063,109.00000000000051,11.5,348.61004458266115,934.2749194815319,0.0,0.0,0.0,0.0,6.5
localized_surge,fixed,quiet,1.0,15.0,43.52925794197585,147.65000000000003,5.282361111111113,13.333333333333306,1.6666666666666667,0.0,14.999999999999972,4.0,100.0,62.0,22928.042093393182,23.339605492972574,31.844502907490533,0.0,4.0,66.44250000000001,12.032358750000007,3.532569574463609,82.00742832446362,40.00000000000003,5.0,127.00742832446365,340.3799079095626,0.0,0.0,0.0,0.0,1.5
localized_surge,fixed,surge,4.0,59.0,503.0447119212017,35.417,1.2571506944444442,3.1333333333333364,0.6666666666666666,0.08333333333333333,3.800000000000003,1.5,23.5,6.5,8027.467236779264,34.57363089958862,29.731360136219493,0.0,1.5,15.937649999999998,2.646562500000001,1.0644290378636412,19.64864153786364,9.399999999999999,2.0,31.048641537863638,83.21035932147456,0.0,0.0,0.0,0.0,0.5
localized_surge,smart,normal,2.5,21.0,23.76530416780283,635.1344999999997,18.934597222222223,27.79999999999994,8.666666666666664,0.0,36.46666666666661,27.5,208.5,26.0,69355.44010153279,65.48982573920264,28.463142732609676,0.0,277.5,285.810525,19.96353,6.911437773178245,312.6854927731782,83.4000000000001,26.0,422.0854927731783,1131.1891206321181,0.0,17.5,0.0,0.0,77.5
localized_surge,smart,quiet,0.5,9.0,10.919377355933591,274.071,8.362251388888888,12.86666666666666,3.3333333333333335,0.0,16.199999999999992,10.0,96.5,16.0,27817.481416441362,63.81226280669369,31.0577300451044,0.0,98.5,123.33195,9.629921249999999,3.392284022362625,136.35415527236265,38.59999999999992,10.0,184.95415527236258,495.6771361299317,0.0,6.0,0.0,0.0,30.0
localized_surge,smart,surge,0.5,0.5,1.6381828616591605,95.30700000000002,2.6749694444444447,4.733333333333334,1.5,0.0,6.233333333333334,3.0,35.5,7.0,9657.685083634842,61.95062669955061,40.99302147111399,0.0,19.5,42.888149999999996,0.26786250000000034,1.1725867244086388,44.328599224408634,14.200000000000006,4.5,63.028599224408644,168.91664592141518,0.0,1.5,0.0,0.0,6.0
normal_patterned,fixed,normal,0.5,5.0,17.846232958221265,411.35749999999985,14.759969444444447,36.33333333333324,3.833333333333332,0.0,40.16666666666658,13.0,272.5,129.0,71500.83489837368,52.07429634992588,58.352850240692376,0.0,25.0,185.11087499999996,32.662383750000004,9.997640961069678,227.77089971106966,109.00000000000051,11.5,348.2708997110702,933.3660112256681,0.0,0.0,0.0,0.0,6.5
normal_patterned,fixed,quiet,0.0,1.0,2.7983581610372994,147.65000000000003,5.282361111111113,13.333333333333306,1.6666666666666667,0.0,14.999999999999972,4.0,100.0,63.5,22451.48337770041,22.86540086732894,31.18261580236168,0.0,4.0,66.44250000000001,12.032358750000007,3.4769589400125986,81.9518176900126,40.00000000000003,5.0,126.95181769001263,340.2308714092339,0.0,0.0,0.0,0.0,1.5
normal_patterned,fixed,surge,1.0,6.5,50.752687715875936,34.340500000000006,1.2339277777777777,3.1333333333333364,0.6666666666666666,0.08333333333333333,3.800000000000003,1.5,23.5,7.0,7697.946735101577,33.41011499747,28.510913833709544,0.0,1.5,15.453224999999996,2.4421950000000003,1.0373921179600054,18.932812117960005,9.399999999999999,2.0,30.332812117960003,81.29193647613282,0.0,0.0,0.0,0.0,0.5
normal_patterned,smart,normal,2.0,28.0,30.879550893509546,627.3124999999997,19.32247222222223,26.666666666666615,8.833333333333334,0.0,35.49999999999994,27.0,200.0,22.0,68102.98665215827,66.78277834009145,28.49826287010577,0.0,280.0,282.29062500000003,26.341346250000004,7.010253734902104,315.6422249849021,80.00000000000014,26.5,422.14222498490227,1131.341162959538,0.0,18.0,0.0,0.0,78.0
normal_patterned,smart,quiet,0.0,4.5,5.132602792057803,191.5905,5.879722916666666,10.066666666666663,2.333333333333333,0.0,12.399999999999997,7.0,75.5,6.0,20987.619335872954,64.43345409510006,33.294201939467854,0.0,98.5,86.21572499999999,6.290336249999999,2.6506869198494103,95.15674816984941,30.199999999999957,7.0,132.35674816984937,354.7160850951963,0.0,4.0,0.0,0.0,30.0
normal_patterned,smart,surge,0.0,2.0,3.8062275276332542,96.041,3.007758333333333,5.400000000000004,1.1666666666666665,0.0,6.566666666666671,3.0,40.5,4.0,13796.394481260186,69.50886817941301,54.0213950980752,0.0,20.0,43.21845,4.245243750000001,1.889832421080129,49.353526171080134,16.19999999999999,3.5,69.05352617108012,185.06345013849472,0.0,2.0,0.0,0.0,6.0
