scenario,metric,direction_better,n_paired_replications,fixed_mean,smart_mean,beneficial_difference,beneficial_difference_ci95_low,beneficial_difference_ci95_high,beneficial_change_pct_vs_fixed,paired_sign_flip_p,paired_difference_shapiro_p,unit
abrupt_behavior_change,overflow_incidents,lower,2,53.5,6.5,47.0,-54.64963788939755,148.64963788939755,87.85046728971963,0.50095,,count
abrupt_behavior_change,overflow_bin_hours,lower,2,651.5,149.0,502.5,-1854.5009785604057,2859.5009785604057,77.12970069071373,0.50655,,bin-hours
abrupt_behavior_change,overflow_spilled_kg,lower,2,3399.837072671478,260.19263213569263,3139.644440535785,-6714.867435832526,12994.156316904096,92.34690879080149,0.49715,,kg
abrupt_behavior_change,distance_km,lower,2,610.9139999999998,1183.2434999999996,-572.3294999999997,-1072.5918397703026,-72.06716022969675,-93.68413557391055,0.49835,,km
abrupt_behavior_change,travel_time_hours,lower,2,21.710322916666676,35.708050000000014,-13.997727083333336,-43.03914333712685,15.043689170460182,-64.47498333885905,0.5068,,hours
abrupt_behavior_change,service_time_hours,lower,2,52.799999999999855,54.86666666666652,-2.0666666666666593,-7.996228876881495,3.862895543548176,-3.9141414141414113,0.498,,hours
abrupt_behavior_change,depot_unloading_time_hours,lower,2,7.4999999999999964,15.666666666666675,-8.166666666666679,-14.519769034754026,-1.8135642985793314,-108.8888888888891,0.4975,,hours
abrupt_behavior_change,turnaround_time_hours,lower,2,0.75,0.0,0.75,-0.3088503946812242,1.8088503946812242,100.0,0.5031,,hours
abrupt_behavior_change,idling_time_hours,lower,2,60.299999999999855,70.53333333333319,-10.233333333333338,-22.51599791163543,2.049331244968755,-16.97070204532896,0.49785,,hours
abrupt_behavior_change,collection_trips,lower,2,22.5,47.0,-24.5,-43.55930710426204,-5.4406928957379606,-108.88888888888889,0.5017,,count
abrupt_behavior_change,collection_stops,lower,2,396.0,411.5,-15.5,-59.97171657661143,28.971716576611428,-3.914141414141414,0.4971,,count
abrupt_behavior_change,wasted_pickups,lower,2,135.5,73.5,62.0,-52.35584262557224,176.35584262557222,45.75645756457565,0.49825,,count
abrupt_behavior_change,base_driving_fuel_l,lower,2,274.9112999999999,532.459575,-257.54827500000005,-482.66632789663447,-32.43022210336565,-93.68413557391061,0.50455,,litres
abrupt_behavior_change,traffic_fuel_penalty_l,lower,2,47.202828749999995,40.382898749999995,6.819930000000001,-166.78767714437296,180.42753714437296,14.448138343827546,1.0,,litres
abrupt_behavior_change,payload_fuel_penalty_l,lower,2,16.25638775523123,14.52436388179293,1.7320238734383002,0.45677005478287147,3.007277692093729,10.654420277843968,0.4961,,litres
abrupt_behavior_change,driving_fuel_l,lower,2,338.37051650523114,587.3668376317929,-248.99632112656178,-646.4467273489136,148.45408509579,-73.58688448930282,0.50245,,litres
abrupt_behavior_change,collection_idle_fuel_l,lower,2,158.40000000000117,164.60000000000127,-6.200000000000088,-23.98868663064491,11.588686630644734,-3.914141414141441,0.50285,,litres
abrupt_behavior_change,depot_idle_fuel_l,lower,2,22.5,47.0,-24.5,-43.55930710426204,-5.4406928957379606,-108.88888888888889,0.5023,,litres
abrupt_behavior_change,fuel_l,lower,2,519.2705165052323,798.9668376317941,-279.6963211265618,-713.9947210838207,154.60207883069705,-53.86331637100439,0.49635,,litres
abrupt_behavior_change,co2_kg,lower,2,1391.6449842340226,2141.2311248532087,-749.5861406191858,-1913.5058525046397,414.3335712662682,-53.863316371004395,0.4996,,kg
abrupt_behavior_change,collected_kg,higher,2,125372.38476938166,129798.08141512703,4425.69664574536,-4541.999208715439,13393.392500206159,3.530041048422491,0.50685,,kg
abrupt_behavior_change,mean_fill_at_collection_pct,higher,2,63.68739949224391,64.11055254474527,0.42315305250136603,-17.898774735028688,18.74508084003142,0.6644219356968707,1.0,,%
abrupt_behavior_change,truck_utilization_pct,higher,2,61.89046370802487,30.699791445001203,-31.19067226302366,-48.048942799051375,-14.332401726995947,-50.39657225734989,0.49455,,%
abrupt_behavior_change,unserved_required_bins,lower,2,0.0,0.0,0.0,0.0,0.0,,1.0,,count
abrupt_behavior_change,inspection_events,lower,2,30.0,400.0,-370.0,-1373.7901741578007,633.7901741578007,-1233.3333333333333,0.50295,,count
abrupt_behavior_change,routing_fallbacks,lower,2,0.0,0.0,0.0,0.0,0.0,,1.0,,count
abrupt_behavior_change,overflow_incidents_post_warmup,lower,2,53.5,6.5,47.0,-54.64963788939755,148.64963788939755,87.85046728971963,0.4996,,count
abrupt_behavior_change,overflow_bin_hours_post_warmup,lower,2,651.5,149.0,502.5,-1854.5009785604057,2859.5009785604057,77.12970069071373,0.5064,,bin-hours
abrupt_behavior_change,overflow_spilled_kg_post_warmup,lower,2,3399.837072671478,260.19263213569263,3139.644440535785,-6714.867435832526,12994.156316904096,92.34690879080149,0.49975,,kg
abrupt_behavior_change,distance_km_post_warmup,lower,2,610.9139999999998,1183.2434999999996,-572.3294999999997,-1072.5918397703026,-72.06716022969675,-93.68413557391055,0.4977,,km
abrupt_behavior_change,travel_time_hours_post_warmup,lower,2,21.710322916666676,35.708050000000014,-13.997727083333336,-43.03914333712685,15.043689170460182,-64.47498333885905,0.49405,,hours
abrupt_behavior_change,service_time_hours_post_warmup,lower,2,52.799999999999855,54.86666666666652,-2.0666666666666593,-7.996228876881495,3.862895543548176,-3.9141414141414113,0.5047,,hours
abrupt_behavior_change,depot_unloading_time_hours_post_warmup,lower,2,7.4999999999999964,15.666666666666675,-8.166666666666679,-14.519769034754026,-1.8135642985793314,-108.8888888888891,0.50095,,hours
abrupt_behavior_change,turnaround_time_hours_post_warmup,lower,2,0.75,0.0,0.75,-0.3088503946812242,1.8088503946812242,100.0,0.5075,,hours
abrupt_behavior_change,idling_time_hours_post_warmup,lower,2,60.299999999999855,70.53333333333319,-10.233333333333338,-22.51599791163543,2.049331244968755,-16.97070204532896,0.50135,,hours
abrupt_behavior_change,collection_trips_post_warmup,lower,2,22.5,47.0,-24.5,-43.55930710426204,-5.4406928957379606,-108.88888888888889,0.50045,,count
abrupt_behavior_change,collection_stops_post_warmup,lower,2,396.0,411.5,-15.5,-59.97171657661143,28.971716576611428,-3.914141414141414,0.4967,,count
abrupt_behavior_change,wasted_pickups_post_warmup,lower,2,135.5,73.5,62.0,-52.35584262557224,176.35584262557222,45.75645756457565,0.5038,,count
