candidate,scenario,replication,arrival_seed,sensor_seed,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks,mean_candidate_bins_per_dispatch,max_candidate_bins_per_dispatch,mean_required_bins_per_dispatch,optional_only_dispatches,mean_forecast_growth_pct_per_hour,mean_overflow_probability_48h
legacy_v2,high_demand_seasonal,0,9622026,9632026,16.0,122.0,333.16191895719834,1845.7490000000005,51.0,479.0,48.0,1122.6895290601492,0.0,10796.928785841517,0,0.0,24.375,38.0,1.84375,4.0,0.9855416865424927,0.28736914376263367
legacy_v2,high_demand_seasonal,1,9622127,9632129,15.0,203.0,637.2434209886716,1882.3950000000002,52.0,481.0,49.0,1137.418052118618,0.0,9422.865027635811,0,0.0,26.20689655172414,39.0,1.6206896551724137,5.0,0.996164608598744,0.2979902351228059
solver_1000ms,high_demand_seasonal,0,9622026,9632026,16.0,122.0,333.16191895719834,1845.7490000000005,51.0,479.0,48.0,1122.6895290601492,0.0,10796.928785841517,0,0.0,24.375,38.0,1.84375,4.0,0.9855416865424927,0.28736914376263367
solver_1000ms,high_demand_seasonal,1,9622127,9632129,15.0,203.0,637.2434209886716,1882.3950000000002,52.0,481.0,49.0,1137.418052118618,0.0,9422.865027635811,0,0.0,26.20689655172414,39.0,1.6206896551724137,5.0,0.996164608598744,0.2979902351228059
solver_2000ms,high_demand_seasonal,0,9622026,9632026,16.0,122.0,333.16191895719834,1845.7490000000005,51.0,479.0,48.0,1122.6895290601492,0.0,10796.928785841517,0,0.0,24.375,38.0,1.84375,4.0,0.9855416865424927,0.28736914376263367
solver_2000ms,high_demand_seasonal,1,9622127,9632129,15.0,203.0,637.2434209886716,1882.3950000000002,52.0,481.0,49.0,1137.418052118618,0.0,9422.865027635811,0,0.0,26.20689655172414,39.0,1.6206896551724137,5.0,0.996164608598744,0.2979902351228059
solver_500ms,high_demand_seasonal,0,9622026,9632026,15.0,311.0,566.3852690399306,1940.9510000000012,54.0,476.0,48.0,1161.610273855667,1.0,10987.99850999838,0,0.0,23.37142857142857,39.0,1.8,4.0,0.987738295290695,0.27493667143440964
solver_500ms,high_demand_seasonal,1,9622127,9632129,15.0,203.0,637.2434209886716,1882.3950000000002,52.0,481.0,49.0,1137.418052118618,0.0,9422.865027635811,0,0.0,26.20689655172414,39.0,1.6206896551724137,5.0,0.996164608598744,0.2979902351228059
legacy_v2,normal_patterned,0,9622026,9632026,3.0,121.0,122.39109252758051,1522.3000000000004,44.0,339.0,42.0,906.2668029705934,0.0,11438.013681213128,0,0.0,22.807692307692307,37.0,0.9615384615384616,4.0,0.9916726536060807,0.22962147928216192
legacy_v2,normal_patterned,1,9622127,9632129,3.0,115.0,148.09675357169107,1288.6129999999991,34.0,327.0,30.0,802.1292257780126,0.0,7159.2783630689955,0,0.0,25.90909090909091,39.0,1.2272727272727273,6.0,0.9993419024191251,0.2777123122000267
solver_1000ms,normal_patterned,0,9622026,9632026,3.0,121.0,122.39109252758051,1521.7330000000004,44.0,339.0,42.0,906.1394239034463,0.0,11438.013681213128,0,0.0,22.807692307692307,37.0,0.9615384615384616,4.0,0.9916966323314006,0.22965065535738663
solver_1000ms,normal_patterned,1,9622127,9632129,3.0,115.0,148.09675357169107,1288.6129999999991,34.0,327.0,30.0,802.1292257780126,0.0,7159.2783630689955,0,0.0,25.90909090909091,39.0,1.2272727272727273,6.0,0.9993419024191251,0.2777123122000267
solver_2000ms,normal_patterned,0,9622026,9632026,3.0,121.0,122.39109252758051,1521.7330000000004,44.0,339.0,42.0,906.1394239034463,0.0,11438.013681213128,0,0.0,22.807692307692307,37.0,0.9615384615384616,4.0,0.9916966323314006,0.22965065535738663
solver_2000ms,normal_patterned,1,9622127,9632129,3.0,115.0,148.09675357169107,1288.6129999999991,34.0,327.0,30.0,802.1292257780126,0.0,7159.2783630689955,0,0.0,25.90909090909091,39.0,1.2272727272727273,6.0,0.9993419024191251,0.2777123122000267
solver_500ms,normal_patterned,0,9622026,9632026,3.0,121.0,122.39109252758051,1521.7330000000004,44.0,339.0,42.0,906.1394239034463,0.0,11438.013681213128,0,0.0,22.807692307692307,37.0,0.9615384615384616,4.0,0.9916966323314006,0.22965065535738663
solver_500ms,normal_patterned,1,9622127,9632129,3.0,115.0,148.09675357169107,1288.6129999999991,34.0,327.0,30.0,802.1292257780126,0.0,7159.2783630689955,0,0.0,25.90909090909091,39.0,1.2272727272727273,6.0,0.9993419024191251,0.2777123122000267
