scenario,candidate,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks,mean_candidate_bins_per_dispatch,max_candidate_bins_per_dispatch,mean_required_bins_per_dispatch,optional_only_dispatches,mean_forecast_growth_pct_per_hour,mean_overflow_probability_48h
high_demand_seasonal,legacy_v2,15.5,162.5,485.2026699729349,1864.0720000000003,51.5,480.0,48.5,1130.0537905893837,0.0,10109.896906738664,0.0,0.0,25.29094827586207,38.5,1.7322198275862069,4.5,0.9908531475706184,0.2926796894427198
high_demand_seasonal,solver_1000ms,15.5,162.5,485.2026699729349,1864.0720000000003,51.5,480.0,48.5,1130.0537905893837,0.0,10109.896906738664,0.0,0.0,25.29094827586207,38.5,1.7322198275862069,4.5,0.9908531475706184,0.2926796894427198
high_demand_seasonal,solver_2000ms,15.5,162.5,485.2026699729349,1864.0720000000003,51.5,480.0,48.5,1130.0537905893837,0.0,10109.896906738664,0.0,0.0,25.29094827586207,38.5,1.7322198275862069,4.5,0.9908531475706184,0.2926796894427198
high_demand_seasonal,solver_500ms,15.0,257.0,601.8143450143011,1911.6730000000007,53.0,478.5,48.5,1149.5141629871425,0.5,10205.431768817096,0.0,0.0,24.789162561576354,39.0,1.7103448275862068,4.5,0.9919514519447195,0.2864634532786078
normal_patterned,solver_1000ms,3.0,118.0,135.24392304963578,1405.1729999999998,39.0,333.0,36.0,854.1343248407295,0.0,9298.646022141062,0.0,0.0,24.358391608391607,38.0,1.0944055944055944,5.0,0.9955192673752629,0.25368148377870664
normal_patterned,solver_2000ms,3.0,118.0,135.24392304963578,1405.1729999999998,39.0,333.0,36.0,854.1343248407295,0.0,9298.646022141062,0.0,0.0,24.358391608391607,38.0,1.0944055944055944,5.0,0.9955192673752629,0.25368148377870664
normal_patterned,solver_500ms,3.0,118.0,135.24392304963578,1405.1729999999998,39.0,333.0,36.0,854.1343248407295,0.0,9298.646022141062,0.0,0.0,24.358391608391607,38.0,1.0944055944055944,5.0,0.9955192673752629,0.25368148377870664
normal_patterned,legacy_v2,3.0,118.0,135.24392304963578,1405.4564999999998,39.0,333.0,36.0,854.198014374303,0.0,9298.646022141062,0.0,0.0,24.358391608391607,38.0,1.0944055944055944,5.0,0.9955072780126029,0.2536668957410943
