scenario,candidate,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks,mean_candidate_bins_per_dispatch,max_candidate_bins_per_dispatch,mean_required_bins_per_dispatch,optional_only_dispatches,mean_forecast_growth_pct_per_hour,mean_overflow_probability_48h
high_demand_seasonal,legacy_v2,19.75,230.0,724.4589555448556,1860.629500000001,50.75,474.75,45.25,1124.7252894916653,0.5,10283.817649793295,0.0,0.0,24.579087752525254,40.0,1.784480218855219,2.75,0.9901966806494396,0.29016473925269665
high_demand_seasonal,route_2opt_v3,19.75,254.75,778.6224332483223,1869.6757500000008,51.0,474.0,46.0,1127.9441888919487,0.5,10912.864917395107,0.0,0.0,24.67075441919192,40.0,1.8511468855218856,2.5,0.9899605115655385,0.28881330677269385
normal_patterned,legacy_v2,2.5,66.75,77.00093114903676,1388.7889999999993,38.5,335.5,33.75,853.7428551113816,0.5,8553.793984765045,0.0,0.0,24.814285714285717,41.0,0.9480952380952381,7.0,1.0003301642401738,0.24717178914419957
normal_patterned,route_2opt_v3,2.75,112.5,115.71123284652789,1423.9882499999994,39.75,338.75,35.25,870.8104835224491,0.0,8018.415668122698,0.0,0.0,24.576309523809524,40.75,0.9625595238095238,6.5,1.0042103103802087,0.2488761163567094
