scenario,candidate,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks
high_demand_seasonal,three_hour_fill_93_strict,23.0,271.5,905.6495535519373,1829.112500000001,48.5,467.5,21.0,1115.6572811852234,0.0,11749.067593972773,0.0,0.0
high_demand_seasonal,three_hour_fill_93_gap_96,26.0,252.5,1299.0404118381089,1862.3590000000013,51.5,463.0,19.5,1131.6629169161852,0.0,13420.997839422169,0.0,0.0
high_demand_seasonal,current_90,21.5,317.5,993.7322153949269,1924.0100000000007,53.0,492.5,51.5,1166.4296112074555,0.0,12250.44950770171,0.0,0.0
normal_patterned,three_hour_fill_93_gap_96,4.0,51.0,83.64186929984186,1339.187499999999,36.5,331.0,22.0,818.1345687868467,0.0,8576.667663473978,0.0,0.0
normal_patterned,three_hour_fill_93_strict,8.0,171.0,247.98093255297255,1393.5974999999994,39.0,324.5,19.0,852.61381962098,0.0,8499.486383636198,0.0,0.0
normal_patterned,current_90,4.0,25.0,90.25690697985658,1438.8780000000002,40.5,358.5,40.0,877.7136271204404,0.0,6355.346842893379,0.5,0.0
