scenario,policy,metric,n_replications,mean,sd,ci95_low,ci95_high,unit
normal_patterned,fixed,overflow_incidents,2,6.0,8.48528137423857,-70.23722841704816,82.23722841704816,count
normal_patterned,fixed,overflow_bin_hours,2,382.0,540.2295808265224,-4471.770209218733,5235.770209218733,bin-hours
normal_patterned,fixed,overflow_spilled_kg,2,1806.3431816643674,2554.555025809916,-21145.423108356285,24758.10947168502,kg
normal_patterned,fixed,distance_km,2,766.0204999999993,12.837523612441752,650.6799265073737,881.3610734926249,km
normal_patterned,fixed,travel_time_hours,2,21.950757638888895,0.30993177684332507,19.16613110468319,24.7353841730946,hours
normal_patterned,fixed,service_time_hours,2,52.06666666666652,1.037089945740266,42.74878319347178,61.38455013986126,hours
normal_patterned,fixed,depot_unloading_time_hours,2,5.999999999999998,0.0,5.999999999999998,5.999999999999998,hours
normal_patterned,fixed,turnaround_time_hours,2,1.5,0.0,1.5,1.5,hours
normal_patterned,fixed,idling_time_hours,2,58.06666666666652,1.037089945740266,48.74878319347178,67.38455013986126,hours
normal_patterned,fixed,collection_trips,2,18.0,0.0,18.0,18.0,count
normal_patterned,fixed,collection_stops,2,390.5,7.7781745930520225,320.6158739510392,460.3841260489608,count
normal_patterned,fixed,wasted_pickups,2,197.5,20.506096654409877,13.26003132546694,381.7399686745331,count
normal_patterned,fixed,base_driving_fuel_l,2,344.70922500000006,5.776885625598772,292.8059669283187,396.6124830716814,litres
normal_patterned,fixed,traffic_fuel_penalty_l,2,21.221988750000012,1.0054581131395384,12.18830601698967,30.255671483010353,litres
normal_patterned,fixed,payload_fuel_penalty_l,2,13.065155019820892,1.304284578828809,1.346623014637009,24.783687025004774,litres
normal_patterned,fixed,driving_fuel_l,2,378.99636876982095,6.075712091288068,324.4082614259658,433.5844761136761,litres
normal_patterned,fixed,collection_idle_fuel_l,2,156.20000000000113,3.111269837220853,128.2463495804164,184.15365041958586,litres
normal_patterned,fixed,depot_idle_fuel_l,2,18.0,0.0,18.0,18.0,litres
normal_patterned,fixed,fuel_l,2,553.1963687698221,9.186981928508942,470.6546110063821,635.7381265332622,litres
normal_patterned,fixed,co2_kg,2,1482.5662683031233,24.62111156840398,1261.3543574971038,1703.7781791091427,kg
normal_patterned,fixed,collected_kg,2,100273.7032667069,8929.133626367699,20048.620583361524,180498.78595005226,kg
normal_patterned,fixed,mean_fill_at_collection_pct,2,52.09297954535391,3.438205982129933,21.20192440600416,82.98403468470366,%
normal_patterned,fixed,truck_utilization_pct,2,61.897347695498084,5.5118108804738934,12.375691718124344,111.41900367287182,%
normal_patterned,fixed,unserved_required_bins,2,5.5,7.7781745930520225,-64.38412604896081,75.38412604896081,count
normal_patterned,fixed,inspection_events,2,30.5,7.7781745930520225,-39.38412604896081,100.38412604896081,count
normal_patterned,fixed,routing_fallbacks,2,0.0,0.0,0.0,0.0,count
normal_patterned,fixed,overflow_incidents_post_warmup,2,6.0,8.48528137423857,-70.23722841704816,82.23722841704816,count
normal_patterned,fixed,overflow_bin_hours_post_warmup,2,382.0,540.2295808265224,-4471.770209218733,5235.770209218733,bin-hours
normal_patterned,fixed,overflow_spilled_kg_post_warmup,2,1806.3431816643674,2554.555025809916,-21145.423108356285,24758.10947168502,kg
normal_patterned,fixed,distance_km_post_warmup,2,766.0204999999993,12.837523612441752,650.6799265073737,881.3610734926249,km
normal_patterned,fixed,travel_time_hours_post_warmup,2,21.950757638888895,0.30993177684332507,19.16613110468319,24.7353841730946,hours
normal_patterned,fixed,service_time_hours_post_warmup,2,52.06666666666652,1.037089945740266,42.74878319347178,61.38455013986126,hours
normal_patterned,fixed,depot_unloading_time_hours_post_warmup,2,5.999999999999998,0.0,5.999999999999998,5.999999999999998,hours
normal_patterned,fixed,turnaround_time_hours_post_warmup,2,1.5,0.0,1.5,1.5,hours
normal_patterned,fixed,idling_time_hours_post_warmup,2,58.06666666666652,1.037089945740266,48.74878319347178,67.38455013986126,hours
normal_patterned,fixed,collection_trips_post_warmup,2,18.0,0.0,18.0,18.0,count
normal_patterned,fixed,collection_stops_post_warmup,2,390.5,7.7781745930520225,320.6158739510392,460.3841260489608,count
normal_patterned,fixed,wasted_pickups_post_warmup,2,197.5,20.506096654409877,13.26003132546694,381.7399686745331,count
normal_patterned,fixed,base_driving_fuel_l_post_warmup,2,344.70922500000006,5.776885625598772,292.8059669283187,396.6124830716814,litres
normal_patterned,fixed,traffic_fuel_penalty_l_post_warmup,2,21.221988750000012,1.0054581131395384,12.18830601698967,30.255671483010353,litres
normal_patterned,fixed,payload_fuel_penalty_l_post_warmup,2,13.065155019820892,1.304284578828809,1.346623014637009,24.783687025004774,litres
normal_patterned,fixed,driving_fuel_l_post_warmup,2,378.99636876982095,6.075712091288068,324.4082614259658,433.5844761136761,litres
normal_patterned,fixed,collection_idle_fuel_l_post_warmup,2,156.20000000000113,3.111269837220853,128.2463495804164,184.15365041958586,litres
normal_patterned,fixed,depot_idle_fuel_l_post_warmup,2,18.0,0.0,18.0,18.0,litres
normal_patterned,fixed,fuel_l_post_warmup,2,553.1963687698221,9.186981928508942,470.6546110063821,635.7381265332622,litres
normal_patterned,fixed,co2_kg_post_warmup,2,1482.5662683031233,24.62111156840398,1261.3543574971038,1703.7781791091427,kg
normal_patterned,fixed,collected_kg_post_warmup,2,100273.7032667069,8929.133626367699,20048.620583361524,180498.78595005226,kg
normal_patterned,fixed,mean_fill_at_collection_pct_post_warmup,2,52.09297954535391,3.438205982129933,21.20192440600416,82.98403468470366,%
normal_patterned,fixed,truck_utilization_pct_post_warmup,2,61.897347695498084,5.5118108804738934,12.375691718124344,111.41900367287182,%
normal_patterned,fixed,unserved_required_bins_post_warmup,2,5.5,7.7781745930520225,-64.38412604896081,75.38412604896081,count
normal_patterned,fixed,inspection_events_post_warmup,2,30.5,7.7781745930520225,-39.38412604896081,100.38412604896081,count
normal_patterned,fixed,routing_fallbacks_post_warmup,2,0.0,0.0,0.0,0.0,count
normal_patterned,fixed,uncollected_kg_at_horizon,2,8556.44043980777,1499.2697600405334,-4913.963912604162,22026.8447922197,kg
normal_patterned,fixed,unfinished_trip_count,2,0.0,0.0,0.0,0.0,count
normal_patterned,smart,overflow_incidents,2,4.0,2.8284271247461903,-21.41240947234939,29.41240947234939,count
normal_patterned,smart,overflow_bin_hours,2,193.0,248.90158697766472,-2043.2920335667459,2429.292033566746,bin-hours
normal_patterned,smart,overflow_spilled_kg,2,232.5500125084344,206.76493914422963,-1625.1592606375266,2090.259285654395,kg
normal_patterned,smart,distance_km,2,1273.6085,54.34752009521713,785.3154050911722,1761.901594908828,km
normal_patterned,smart,travel_time_hours,2,34.61069027777779,1.576852050417009,20.44323670192984,48.77814385362574,hours
normal_patterned,smart,service_time_hours,2,42.133333333333226,1.319932658214884,30.274208912903553,53.9924577537629,hours
normal_patterned,smart,depot_unloading_time_hours,2,12.000000000000004,0.4714045207910325,7.764598421275099,16.235401578724908,hours
normal_patterned,smart,turnaround_time_hours,2,2.1666666666666665,0.0,2.1666666666666665,2.1666666666666665,hours
normal_patterned,smart,idling_time_hours,2,54.133333333333226,1.791337179005914,38.03880733417867,70.22785933248778,hours
normal_patterned,smart,collection_trips,2,36.0,1.4142135623730951,23.293795263825306,48.7062047361747,count
normal_patterned,smart,collection_stops,2,315.5,10.606601717798213,220.2034644786898,410.7965355213102,count
normal_patterned,smart,wasted_pickups,2,39.5,6.363961030678928,-17.67792131278612,96.67792131278611,count
normal_patterned,smart,base_driving_fuel_l,2,573.123825,24.456384042847898,353.3919322910258,792.8557177089742,litres
normal_patterned,smart,traffic_fuel_penalty_l,2,28.68926625000001,1.3300837653144653,16.738937750824498,40.63959474917552,litres
normal_patterned,smart,payload_fuel_penalty_l,2,10.515606532476971,0.026784542208034612,10.27495696856746,10.756256096386482,litres
normal_patterned,smart,driving_fuel_l,2,612.328697782477,23.099515735325344,404.78778313658825,819.8696124283657,litres
normal_patterned,smart,collection_idle_fuel_l,2,126.40000000000072,3.9597979746447223,90.82262673871108,161.97737326129035,litres
normal_patterned,smart,depot_idle_fuel_l,2,36.0,1.4142135623730951,23.293795263825306,48.7062047361747,litres
normal_patterned,smart,fuel_l,2,774.7286977824776,28.47352727234312,518.904205139125,1030.5531904258303,litres
normal_patterned,smart,co2_kg,2,2076.2729100570405,76.30905308987954,1390.6632697728555,2761.8825503412254,kg
normal_patterned,smart,collected_kg,2,102932.40791914787,3702.6347293891904,69665.55474603557,136199.26109226016,kg
normal_patterned,smart,mean_fill_at_collection_pct,2,66.25923515651945,0.6304639392757132,60.59474140228757,71.92372891075134,%
normal_patterned,smart,truck_utilization_pct,2,31.77133013268053,0.10530722461576669,30.82518225815374,32.71747800720732,%
normal_patterned,smart,unserved_required_bins,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,count
normal_patterned,smart,inspection_events,2,305.5,91.21677477306463,-514.0502054832676,1125.0502054832677,count
normal_patterned,smart,routing_fallbacks,2,0.0,0.0,0.0,0.0,count
normal_patterned,smart,overflow_incidents_post_warmup,2,4.0,2.8284271247461903,-21.41240947234939,29.41240947234939,count
normal_patterned,smart,overflow_bin_hours_post_warmup,2,193.0,248.90158697766472,-2043.2920335667459,2429.292033566746,bin-hours
normal_patterned,smart,overflow_spilled_kg_post_warmup,2,232.5500125084344,206.76493914422963,-1625.1592606375266,2090.259285654395,kg
normal_patterned,smart,distance_km_post_warmup,2,1273.6085,54.34752009521713,785.3154050911722,1761.901594908828,km
normal_patterned,smart,travel_time_hours_post_warmup,2,34.61069027777779,1.576852050417009,20.44323670192984,48.77814385362574,hours
normal_patterned,smart,service_time_hours_post_warmup,2,42.133333333333226,1.319932658214884,30.274208912903553,53.9924577537629,hours
normal_patterned,smart,depot_unloading_time_hours_post_warmup,2,12.000000000000004,0.4714045207910325,7.764598421275099,16.235401578724908,hours
normal_patterned,smart,turnaround_time_hours_post_warmup,2,2.1666666666666665,0.0,2.1666666666666665,2.1666666666666665,hours
normal_patterned,smart,idling_time_hours_post_warmup,2,54.133333333333226,1.791337179005914,38.03880733417867,70.22785933248778,hours
normal_patterned,smart,collection_trips_post_warmup,2,36.0,1.4142135623730951,23.293795263825306,48.7062047361747,count
normal_patterned,smart,collection_stops_post_warmup,2,315.5,10.606601717798213,220.2034644786898,410.7965355213102,count
normal_patterned,smart,wasted_pickups_post_warmup,2,39.5,6.363961030678928,-17.67792131278612,96.67792131278611,count
normal_patterned,smart,base_driving_fuel_l_post_warmup,2,573.123825,24.456384042847898,353.3919322910258,792.8557177089742,litres
normal_patterned,smart,traffic_fuel_penalty_l_post_warmup,2,28.68926625000001,1.3300837653144653,16.738937750824498,40.63959474917552,litres
normal_patterned,smart,payload_fuel_penalty_l_post_warmup,2,10.515606532476971,0.026784542208034612,10.27495696856746,10.756256096386482,litres
normal_patterned,smart,driving_fuel_l_post_warmup,2,612.328697782477,23.099515735325344,404.78778313658825,819.8696124283657,litres
normal_patterned,smart,collection_idle_fuel_l_post_warmup,2,126.40000000000072,3.9597979746447223,90.82262673871108,161.97737326129035,litres
normal_patterned,smart,depot_idle_fuel_l_post_warmup,2,36.0,1.4142135623730951,23.293795263825306,48.7062047361747,litres
normal_patterned,smart,fuel_l_post_warmup,2,774.7286977824776,28.47352727234312,518.904205139125,1030.5531904258303,litres
normal_patterned,smart,co2_kg_post_warmup,2,2076.2729100570405,76.30905308987954,1390.6632697728555,2761.8825503412254,kg
normal_patterned,smart,collected_kg_post_warmup,2,102932.40791914787,3702.6347293891904,69665.55474603557,136199.26109226016,kg
normal_patterned,smart,mean_fill_at_collection_pct_post_warmup,2,66.25923515651945,0.6304639392757132,60.59474140228757,71.92372891075134,%
normal_patterned,smart,truck_utilization_pct_post_warmup,2,31.77133013268053,0.10530722461576669,30.82518225815374,32.71747800720732,%
normal_patterned,smart,unserved_required_bins_post_warmup,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,count
normal_patterned,smart,inspection_events_post_warmup,2,282.0,90.50966799187809,-531.1971031151804,1095.1971031151804,count
normal_patterned,smart,routing_fallbacks_post_warmup,2,0.0,0.0,0.0,0.0,count
normal_patterned,smart,uncollected_kg_at_horizon,2,7471.528956522745,965.9091719838087,-1206.820638131614,16149.878551177104,kg
normal_patterned,smart,unfinished_trip_count,2,0.0,0.0,0.0,0.0,count
