policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,forecast_driven_dispatches_post_warmup,capacity_constrained_decisions_post_warmup,dispatch_limit_blocks_post_warmup,sensor_uncertainty_decisions_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days
fixed,normal_patterned,0,12.0,764.0,3612.686363328735,756.9429999999993,21.731602777777784,51.333333333333194,5.999999999999998,1.5,57.333333333333194,18.0,385.0,212.0,93959.85232938147,49.66180078027368,57.9999088452972,11.0,25.0,340.62435000000005,21.93295500000001,12.142886549534001,374.70019154953405,154.0000000000011,18.0,546.7001915495351,1465.1565133527542,0.0,0.0,1.0,0.0,8.0,12.0,764.0,3612.686363328735,756.9429999999993,21.731602777777784,51.333333333333194,5.999999999999998,1.5,57.333333333333194,18.0,385.0,212.0,93959.85232938147,49.66180078027368,57.9999088452972,11.0,25.0,340.62435000000005,21.93295500000001,12.142886549534001,374.70019154953405,154.0000000000011,18.0,546.7001915495351,1465.1565133527542,0.0,0.0,1.0,0.0,8.0,9616.584253960358,0,3
smart,normal_patterned,0,2.0,17.0,86.34512192792582,1235.1789999999999,33.49568750000002,41.199999999999896,11.66666666666667,2.1666666666666665,52.86666666666657,35.0,308.0,35.0,100314.24979373996,66.7050404832749,31.845793585314272,1.0,241.0,555.8305499999998,29.629777500000007,10.53454606390325,595.9948735639031,123.60000000000068,35.0,754.5948735639038,2022.3142611512621,0.0,22.0,0.0,30.0,82.0,2.0,17.0,86.34512192792582,1235.1789999999999,33.49568750000002,41.199999999999896,11.66666666666667,2.1666666666666665,52.86666666666657,35.0,308.0,35.0,100314.24979373996,66.7050404832749,31.845793585314272,1.0,218.0,555.8305499999998,29.629777500000007,10.53454606390325,595.9948735639031,123.60000000000068,35.0,754.5948735639038,2022.3142611512621,0.0,22.0,0.0,30.0,72.0,6788.52803100271,0,3
fixed,normal_patterned,1,0.0,0.0,0.0,775.0979999999993,22.169912500000006,52.799999999999855,5.999999999999998,1.5,58.799999999999855,18.0,396.0,183.0,106587.55420403232,54.52415831043414,65.79478654569897,0.0,36.0,348.7941,20.511022500000013,13.987423490107783,383.29254599010784,158.40000000000117,18.0,559.692545990109,1499.9760232534923,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,775.0979999999993,22.169912500000006,52.799999999999855,5.999999999999998,1.5,58.799999999999855,18.0,396.0,183.0,106587.55420403232,54.52415831043414,65.79478654569897,0.0,36.0,348.7941,20.511022500000013,13.987423490107783,383.29254599010784,158.40000000000117,18.0,559.692545990109,1499.9760232534923,0.0,0.0,0.0,0.0,9.0,7496.29662565518,0,3
smart,normal_patterned,1,6.0,369.0,378.754903088943,1312.0380000000002,35.725693055555574,43.066666666666556,12.333333333333337,2.1666666666666665,55.39999999999989,37.0,323.0,44.0,105550.56604455579,65.81342982976402,31.696866680046785,0.0,370.0,590.4171000000002,27.748755000000017,10.496667001050692,628.6625220010509,129.20000000000076,37.0,794.8625220010516,2130.2315589628183,0.0,24.0,0.0,27.0,90.0,6.0,369.0,378.754903088943,1312.0380000000002,35.725693055555574,43.066666666666556,12.333333333333337,2.1666666666666665,55.39999999999989,37.0,323.0,44.0,105550.56604455579,65.81342982976402,31.696866680046785,0.0,346.0,590.4171000000002,27.748755000000017,10.496667001050692,628.6625220010509,129.20000000000076,37.0,794.8625220010516,2130.2315589628183,0.0,24.0,0.0,27.0,79.0,8154.529882042779,0,3
