scenario,policy,replication,demand_regime,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions
normal_patterned,fixed,0,quiet,0.0,66.0,200.1416375554188,350.68699999999984,10.184888888888887,25.866666666666614,2.6666666666666665,0.6666666666666666,28.53333333333328,8.0,194.0,124.0,42307.914903567675,44.88563207604779,58.76099292162177,0.0,8.0,157.80915,10.462725000000002,5.5809488610096345,173.85282386100963,77.60000000000002,8.0,259.4528238610096,695.3335679475058,0.0,0.0,0.0,0.0,3.0
normal_patterned,fixed,0,normal,8.0,674.0,3269.6278946395046,334.65099999999995,9.387116666666664,20.5333333333333,2.333333333333333,0.6666666666666666,22.86666666666663,8.0,154.0,74.0,41557.00732811521,53.33719764124336,57.71806573349335,0.0,14.0,150.59295000000003,7.769295000000001,5.389931781145761,163.75217678114578,61.599999999999845,7.0,232.35217678114563,622.7038337734704,0.0,0.0,0.0,0.0,4.0
normal_patterned,fixed,0,surge,4.0,24.0,142.9168311338119,71.605,2.1595972222222217,4.933333333333335,1.0,0.16666666666666666,5.933333333333335,2.0,37.0,14.0,10094.93009769864,59.406817321638066,56.08294498721466,11.0,3.0,32.222249999999995,3.700935,1.1720059073786078,37.0951909073786,14.800000000000008,3.0,54.895190907378606,147.11911163177467,0.0,0.0,1.0,0.0,1.0
normal_patterned,smart,0,quiet,0.0,0.0,0.0,396.23599999999993,11.41015,13.06666666666666,3.666666666666667,0.5,16.733333333333327,11.0,98.0,14.0,27572.402372614448,64.84763841340025,27.85091148748934,0.0,81.0,178.3062,15.489450000000005,2.8437516468601514,196.63940164686014,39.199999999999925,11.0,246.83940164686007,661.5295964135851,0.0,8.0,0.0,6.0,36.0
normal_patterned,smart,0,normal,0.0,6.0,8.373285354482448,696.0869999999995,18.466231944444456,22.93333333333329,6.333333333333331,1.3333333333333333,29.266666666666623,20.0,171.0,20.0,61617.49383591742,68.03387047186722,34.23194101995412,1.0,151.0,313.23914999999994,14.140327500000007,6.646226000056808,334.02570350005675,68.7999999999999,19.0,421.82570350005665,1130.4928853801518,0.0,12.0,0.0,19.0,43.0
normal_patterned,smart,0,surge,2.0,11.0,77.97183657344337,142.85599999999997,3.6193055555555556,5.200000000000003,1.6666666666666665,0.3333333333333333,6.866666666666669,4.0,39.0,1.0,11124.35358520808,65.54595009349107,30.900982181133553,0.0,9.0,64.28519999999999,0.0,1.0445684169862928,65.32976841698628,15.600000000000009,5.0,85.92976841698629,230.29177935752327,0.0,2.0,0.0,5.0,3.0
normal_patterned,fixed,1,quiet,0.0,0.0,0.0,52.202000000000005,1.2792222222222223,1.4666666666666666,0.3333333333333333,0.16666666666666666,1.7999999999999998,1.0,11.0,0.0,3986.659528827605,67.115480283293,44.29621698697339,0.0,0.0,23.490899999999996,0.0,0.5598110801678784,24.050711080167876,4.3999999999999995,1.0,29.450711080167874,78.92790569484991,0.0,0.0,0.0,0.0,0.0
normal_patterned,fixed,1,normal,0.0,0.0,0.0,722.8959999999994,20.890690277777782,51.333333333333194,4.999999999999999,1.3333333333333333,56.333333333333194,17.0,385.0,183.0,102600.89467520473,54.16440625406672,67.05940828444754,0.0,36.0,325.3032,20.511022500000013,13.427612409939902,359.24183490993994,154.0000000000011,15.0,528.2418349099411,1415.6881175586423,0.0,0.0,0.0,0.0,9.0
normal_patterned,fixed,1,surge,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.36,0.0,0.0,0.0,0.0,0.0
normal_patterned,smart,1,quiet,1.0,22.0,18.219181312770928,167.948,4.9256263888888885,5.866666666666672,1.6666666666666665,0.3333333333333333,7.5333333333333385,5.0,44.0,8.0,13091.849040569858,60.76724236942521,29.09299786793302,0.0,83.0,75.5766,6.077362500000001,1.2958607581403851,82.94982325814038,17.6,5.0,105.54982325814038,282.8735263318162,0.0,3.0,0.0,4.0,15.0
normal_patterned,smart,1,normal,4.0,330.0,336.5228774312534,1083.4359999999995,29.242155555555573,34.666666666666586,10.333333333333334,1.8333333333333335,44.99999999999992,30.0,260.0,36.0,86216.35293369125,66.36962167191713,31.9319825680338,0.0,276.0,487.5462,21.228637500000012,8.611522152364309,517.3863596523643,104.0000000000004,31.0,652.3863596523647,1748.3954438683375,0.0,19.0,0.0,21.0,72.0
normal_patterned,smart,1,surge,1.0,17.0,24.01284434491889,60.653999999999996,1.557911111111111,2.533333333333333,0.3333333333333333,0.0,2.8666666666666667,2.0,19.0,0.0,6242.364070294682,69.88829137161126,34.67980039052601,0.0,11.0,27.294300000000003,0.442755,0.5892840905460103,28.326339090546014,7.600000000000002,1.0,36.926339090546016,98.96258876266333,0.0,2.0,0.0,2.0,3.0
